"Season","Week","DateTime","Away","Away.Pts","Away.Yds","Away.TOs","Home","Home.Pts","Home.Yds","Home.TOs","Home.Spread","Game.Spread","Game.Total"
2001,1,2001-09-09 13:05:00,"PIT",3,281,4,"JAC",21,299,0,-18,18,24
2001,1,2001-09-09 13:15:00,"ATL",13,241,0,"SF",16,429,1,-3,3,29
2001,1,2001-09-09 16:15:00,"WAS",3,161,4,"LAC",30,255,4,-27,27,33
2001,1,2001-09-09 16:16:00,"LAR",20,364,2,"PHI",17,334,3,3,3,37
2001,1,2001-09-09 20:36:00,"MIA",31,307,2,"TEN",23,315,3,8,8,54
2001,1,2001-09-10 19:07:00,"NYG",20,308,0,"DEN",31,473,0,-11,11,51
2001,2,2001-09-23 12:00:00,"NYG",13,299,3,"KC",3,266,1,10,10,16
2001,2,2001-09-23 12:12:00,"MIN",10,319,2,"CHI",17,284,1,-7,7,27
2001,2,2001-09-23 13:00:00,"BUF",26,374,1,"IND",42,555,3,-16,16,68
2001,2,2001-09-23 13:10:00,"LV",15,216,0,"MIA",18,359,2,-3,3,33
2001,2,2001-09-23 13:10:00,"TEN",6,264,0,"JAC",13,329,2,-7,7,19
2001,2,2001-09-23 13:11:00,"BAL",10,382,6,"CIN",21,203,1,-11,11,31
2001,2,2001-09-23 13:12:00,"CAR",16,359,1,"ATL",24,377,2,-8,8,40
2001,2,2001-09-23 13:12:00,"LAC",32,475,1,"DAL",21,289,5,11,11,53
2001,2,2001-09-23 13:13:00,"DET",14,271,7,"CLE",24,257,2,-10,10,38
2001,2,2001-09-23 16:15:00,"NYJ",10,238,0,"NE",3,308,4,7,7,13
2001,2,2001-09-23 16:27:00,"PHI",27,344,1,"SEA",3,147,1,24,24,30
2001,2,2001-09-23 16:29:00,"LAR",30,425,3,"SF",26,232,1,4,4,56
2001,2,2001-09-23 20:37:00,"DEN",38,381,0,"ARI",17,308,3,21,21,55
2001,2,2001-09-24 21:08:00,"WAS",0,137,3,"GB",37,386,1,-37,37,37
2001,3,2001-09-30 12:03:00,"MIA",10,253,4,"LAR",42,441,0,-32,32,52
2001,3,2001-09-30 13:00:00,"TB",16,331,1,"MIN",20,402,2,-4,4,36
2001,3,2001-09-30 13:01:00,"KC",45,546,0,"WAS",13,218,1,32,32,58
